1/2007	one two thousand seventh
16/17	sixteen seventeenths
7/24	seven twenty fourths
3/4	three quarters
3/4	three quarters
81/85	eighty one eighty fifths
9/11	nine elevenths
1/2	one half
1873/74	one thousand eight hundred seventy three seventy fourths
1/125	one one hundred twenty fifth
1/50	one fiftieth
68/1995	sixty eight one thousand nine hundred ninety fifths
13½	thirteen and a half
8/23	eight twenty thirds
8/9	eight ninths
20/20	twenty twentieths
⅔	two thirds
5/2001	five two thousand firsts
10/20	ten twentieths
8/10	eight tenths
670/2003	six hundred seventy two thousand thirds
3/6	three sixths
3/4	three quarters
23/24	twenty three twenty fourths
30/2009	thirty two thousand ninths
44/2009	forty four two thousand ninths
33/1	thirty three over one
14/4	fourteen quarters
3/4	three quarters
2/4	two quarters
3/40	three fortieths
2/68	two sixty eighths
9/2008	nine two thousand eighths
91/21	ninety one twenty firsts
6½	six and a half
7/8	seven eighths
9/11	nine elevenths
6/3	six thirds
243/2014	two hundred forty three two thousand fourteenths
14/30	fourteen thirtieths
1999/93	one thousand nine hundred ninety nine ninety thirds
50/10	fifty tenths
4/5	four fifths
3/2	three halves
6/4	six quarters
163/285	one hundred sixty three two hundred eighty fifths
4½	four and a half
10/6	ten sixths
69/70	sixty nine seventieths
77/78	seventy seven seventy eighths
50/50	fifty fiftieths
15/2	fifteen halves
84/100	eighty four one hundredths
5/1	five over one
23/1996	twenty three one thousand nine hundred ninety sixths
53/12453	fifty three twelve thousand four hundred fifty thirds
1654/55	one thousand six hundred fifty four fifty fifths
8/1	eight over one
11/2	eleven halves
0/3	zero thirds
17/1995	seventeen one thousand nine hundred ninety fifths
10/36	ten thirty sixths
55/1	fifty five over one
8/9	eight ninths
52/1	fifty two over one
6/10	six tenths
1/250	one two hundred fiftieth
1/500	one five hundredth
-1/2	minus one half
1 1/2	one and a half
2 1/2	two and a half
4600/4700	four thousand six hundred four thousand seven hundredths
5/1	five over one
5/8	five eighths
3/63	three sixty thirds
7/10	seven tenths
444/3	four hundred forty four thirds
2/41	two forty firsts
1692/93	one thousand six hundred ninety two ninety thirds
2/93	two ninety thirds
1946/47	one thousand nine hundred forty six forty sevenths
2010/11	two thousand ten elevenths
1½	one and a half
23/24	twenty three twenty fourths
26 / 1999	twenty six one thousand nine hundred ninety ninths
2015/18	two thousand fifteen eighteenths
3/4	three quarters
24/25	twenty four twenty fifths
10½	ten and a half
9/11	nine elevenths
4/138	four one hundred thirty eighths
10½	ten and a half
10/22	ten twenty seconds
11/12	eleven twelfths
9/11	nine elevenths
2½	two and a half
24/7	twenty four sevenths
8/6	eight sixths
8/47	eight forty sevenths
422/3	four hundred twenty two thirds
2/94	two ninety fourths
24/7	twenty four sevenths
5/1	five over one
28/2006	twenty eight two thousand sixths
7/10	seven tenths
11/56	eleven fifty sixths
6/44	six forty fourths
6/40	six fortieths
7090/7094	seven thousand ninety seven thousand ninety fourths
1/2	one half
9/27	nine twenty sevenths
-1/2	minus one half
14/40	fourteen fortieths
231/230	two hundred thirty one two hundred thirtieths
1/52	one fifty second
2/3	two thirds
12/2781	twelve two thousand seven hundred eighty firsts
99/1040	ninety nine one thousand fortieths
44/60	forty four sixtieths
1973/41	one thousand nine hundred seventy three forty firsts
5/5	five fifths
2/9	two ninths
27/13	twenty seven thirteenths
772/139	seven hundred seventy two one hundred thirty ninths
7/2008	seven two thousand eighths
2 1/2	two and a half
95/98	ninety five ninety eighths
2 1/2	two and a half
200/400	two hundred four hundredths
58/1	fifty eight over one
31/119	thirty one one hundred nineteenths
261/3	two hundred sixty one thirds
1/360	one three hundred sixtieth
6/8	six eighths
2044/2143	two thousand forty four two thousand one hundred forty thirds
2/4	two quarters
9/10	nine tenths
8/10	eight tenths
51/2013	fifty one two thousand thirteenths
8/1	eight over one
98/27424	ninety eight twenty seven thousand four hundred twenty fourths
7350/97	seven thousand three hundred fifty ninety sevenths
1/2	one half
15/1989	fifteen one thousand nine hundred eighty ninths
3/4	three quarters
7/8	seven eighths
5/8	five eighths
2/4	two quarters
33/66	thirty three sixty sixths
7/27	seven twenty sevenths
10/11	ten elevenths
6/25	six twenty fifths
-74/81	minus seventy four eighty firsts
5/10	five tenths
32/6064	thirty two six thousand sixty fourths
18/19	eighteen nineteenths
60/2006	sixty two thousand sixths
5/10	five tenths
24/7	twenty four sevenths
1½	one and a half
1/2	one half
1/2	one half
1/2	one half
1/2	one half
6/8	six eighths
13/15	thirteen fifteenths
2/3	two thirds
279/892	two hundred seventy nine eight hundred ninety seconds
95/1995	ninety five one thousand nine hundred ninety fifths
31/32	thirty one thirty seconds
2/11	two elevenths
14/2015	fourteen two thousand fifteenths
3/1	three over one
100/1	one hundred over one
22½	twenty two and a half
9/27	nine twenty sevenths
1677/78	one thousand six hundred seventy seven seventy eighths
12/13	twelve thirteenths
87/5	eighty seven fifths
4/51	four fifty firsts
2011/30	two thousand eleven thirtieths
-409/95	minus four hundred nine ninety fifths
1580/81	one thousand five hundred eighty eighty firsts
10/14	ten fourteenths
1/13	one thirteenth
4¼	four and a quarter
4 1/2	four and a half
1/16	one sixteenth
1626/27	one thousand six hundred twenty six twenty sevenths
27/29	twenty seven twenty ninths
41/42	forty one forty seconds
9/16	nine sixteenths
8½	eight and a half
1368/69	one thousand three hundred sixty eight sixty ninths
24/7	twenty four sevenths
4/4	four quarters
1/4	one quarter
10/100	ten one hundredths
32/40	thirty two fortieths
12/29	twelve twenty ninths
4/2	four halves
10/1994	ten one thousand nine hundred ninety fourths
3/4	three quarters
32/33	thirty two thirty thirds
7/9	seven ninths
10½	ten and a half
53/55	fifty three fifty fifths
81 5/8	eighty one and five eighths
746/747	seven hundred forty six seven hundred forty sevenths
11/16	eleven sixteenths
1/2001	one two thousand first
3/9	three ninths
1/15	one fifteenth
9/29	nine twenty ninths
6/41	six forty firsts
6/79	six seventy ninths
27/10	twenty seven tenths
85/86	eighty five eighty sixths
1998/1	one thousand nine hundred ninety eight over one
24/7	twenty four sevenths
17/46	seventeen forty sixths
8/4	eight quarters
8282/78	eight thousand two hundred eighty two seventy eighths
100/200	one hundred two hundredths
26/27	twenty six twenty sevenths
1/200	one two hundredth
1848/49	one thousand eight hundred forty eight forty ninths
2/19	two nineteenths
2/20	two twentieths
3099/88	three thousand ninety nine eighty eighths
57/0	fifty seven zeroths
57/3	fifty seven thirds
61/98	sixty one ninety eighths
11/113	eleven one hundred thirteenths
1/100	one one hundredth
77/100	seventy seven one hundredths
10/5	ten fifths
69/100	sixty nine one hundredths
1/2008	one two thousand eighth
1/10	one tenth
44/2005	forty four two thousand fifths
10/31	ten thirty firsts
1/7	one seventh
4/38	four thirty eighths
2/28	two twenty eighths
50/50	fifty fiftieths
1/3	one third
-707/13	minus seven hundred seven thirteenths
1907/15	one thousand nine hundred seven fifteenths
42/4	forty two quarters
32/64	thirty two sixty fourths
11/ 1976	eleven one thousand nine hundred seventy sixths
10 1/2	ten and a half
6/24	six twenty fourths
243/2014	two hundred forty three two thousand fourteenths
4/5	four fifths
14/23	fourteen twenty thirds
4428/98	four thousand four hundred twenty eight ninety eighths
½	one half
5/116	five one hundred sixteenths
4/3	four thirds
1/2	one half
1/2	one half
1864/65	one thousand eight hundred sixty four sixty fifths
2/2014	two two thousand fourteenths
7/19	seven nineteenths
7/21	seven twenty firsts
8/14	eight fourteenths
3/5	three fifths
4/5	four fifths
36 1/4	thirty six and a quarter
12 1/2	twelve and a half
1/3	one third
-1/2	minus one half
3/24	three twenty fourths
1/2	one half
1998/1	one thousand nine hundred ninety eight over one
2600/18	two thousand six hundred eighteenths
4⅞	four and seven eighths
5/6	five sixths
9/11	nine elevenths
9/11	nine elevenths
6/2	six halves
14/2007	fourteen two thousand sevenths
4/56	four fifty sixths
3/25	three twenty fifths
4/8	four eighths
82/400	eighty two four hundredths
13/8	thirteen eighths
5/4	five quarters
2½	two and a half
33 1/3	thirty three and a third
1/27	one twenty seventh
8233/8234	eight thousand two hundred thirty three eight thousand two hundred thirty fourths
1893/126	one thousand eight hundred ninety three one hundred twenty sixths
652/1	six hundred fifty two over one
11/21	eleven twenty firsts
11/27	eleven twenty sevenths
1/3	one third
2/3	two thirds
9/20	nine twentieths
10/27	ten twenty sevenths
1/25	one twenty fifth
11/17	eleven seventeenths
10/3	ten thirds
9/11	nine elevenths
9/11	nine elevenths
9/11	nine elevenths
9/11	nine elevenths
4/22	four twenty seconds
8/100	eight one hundredths
981936/37	nine hundred eighty one thousand nine hundred thirty six thirty sevenths
52/1993	fifty two one thousand nine hundred ninety thirds
1/87	one eighty seventh
75/100	seventy five one hundredths
14/1965	fourteen one thousand nine hundred sixty fifths
31063/94	thirty one thousand sixty three ninety fourths
5/23	five twenty thirds
1/4	one quarter
2/3	two thirds
12/5	twelve fifths
9/30	nine thirtieths
18/49	eighteen forty ninths
17/49	seventeen forty ninths
26/11	twenty six elevenths
8¼	eight and a quarter
3½	three and a half
4/17	four seventeenths
2/3	two thirds
2/3	two thirds
2/3	two thirds
2/3	two thirds
1898/99	one thousand eight hundred ninety eight ninety ninths
8/10	eight tenths
5/5	five fifths
5/19	five nineteenths
1/100	one one hundredth
4½	four and a half
3/2011	three two thousand elevenths
76/77	seventy six seventy sevenths
765/53	seven hundred sixty five fifty thirds
3/31	three thirty firsts
2 1/2	two and a half
1992/3	one thousand nine hundred ninety two thirds
11/1057	eleven one thousand fifty sevenths
21/453	twenty one four hundred fifty thirds
838/1434	eight hundred thirty eight one thousand four hundred thirty fourths
150/3572	one hundred fifty three thousand five hundred seventy seconds
2004/5	two thousand four fifths
259/2014	two hundred fifty nine two thousand fourteenths
94/96	ninety four ninety sixths
1½	one and a half
123/124	one hundred twenty three one hundred twenty fourths
1887/89	one thousand eight hundred eighty seven eighty ninths
1668/9	one thousand six hundred sixty eight ninths
7½	seven and a half
24/7	twenty four sevenths
144/1	one hundred forty four over one
1/87	one eighty seventh
5/2010	five two thousand tenths
88/100	eighty eight one hundredths
17/92	seventeen ninety seconds
672/674	six hundred seventy two six hundred seventy fourths
128/100,000	one hundred twenty eight one hundred thousandths
5/5	five fifths
1583/84	one thousand five hundred eighty three eighty fourths
829/19	eight hundred twenty nine nineteenths
7/20	seven twentieths
4/6	four sixths
11/2009	eleven two thousand ninths
1/56	one fifty sixth
9/240	nine two hundred fortieths
29/2010	twenty nine two thousand tenths
-32/340	minus thirty two three hundred fortieths
1/22	one twenty second
12/2014	twelve two thousand fourteenths
11/2006	eleven two thousand sixths
75/80	seventy five eightieths
32/51	thirty two fifty firsts
11/8	eleven eighths
11½	eleven and a half
4½	four and a half
350/400	three hundred fifty four hundredths
5/15	five fifteenths
⅛	one eighth
5766/2006	five thousand seven hundred sixty six two thousand sixths
9/3	nine thirds
39/1978	thirty nine one thousand nine hundred seventy eighths
90/53	ninety fifty thirds
4/5	four fifths
5/5	five fifths
9/10	nine tenths
1/2	one half
1/48	one forty eighth
8/19	eight nineteenths
20/0	twenty zeroths
20/9	twenty ninths
3/4	three quarters
10¼	ten and a quarter
312/1	three hundred twelve over one
10/28	ten twenty eighths
387/1	three hundred eighty seven over one
3¾	three and three quarters
4½	four and a half
10/4	ten quarters
1/2	one half
700/0	seven hundred zeroths
700/1	seven hundred over one
2½	two and a half
4/96	four ninety sixths
1962/3	one thousand nine hundred sixty two thirds
2011/95	two thousand eleven ninety fifths
50/50	fifty fiftieths
204/214	two hundred four two hundred fourteenths
4/4	four quarters
20/2011	twenty two thousand elevenths
1/5	one fifth
1/2	one half
58/59	fifty eight fifty ninths
300/913	three hundred nine hundred thirteenths
301/913	three hundred one nine hundred thirteenths
1½	one and a half
23/30	twenty three thirtieths
4/16	four sixteenths
6/10	six tenths
1/4	one quarter
131/416	one hundred thirty one four hundred sixteenths
1¾	one and three quarters
1/4	one quarter
10/20	ten twentieths
5½	five and a half
120/140	one hundred twenty one hundred fortieths
1/3	one third
1845/95	one thousand eight hundred forty five ninety fifths
1836/7	one thousand eight hundred thirty six sevenths
1950/51	one thousand nine hundred fifty fifty firsts
1989/90	one thousand nine hundred eighty nine ninetieths
1992/93	one thousand nine hundred ninety two ninety thirds
2011/12	two thousand eleven twelfths
1 1/2	one and a half
-1/2	minus one half
20/20	twenty twentieths
2000/7	two thousand sevenths
1953/12	one thousand nine hundred fifty three twelfths
11/15	eleven fifteenths
166/6928	one hundred sixty six six thousand nine hundred twenty eighths
83/86	eighty three eighty sixths
1 7/8	one and seven eighths
23/6	twenty three sixths
3/8	three eighths
1/3	one third
4/2011	four two thousand elevenths
50/1996	fifty one thousand nine hundred ninety sixths
5/45	five forty fifths
10/2007	ten two thousand sevenths
849/850	eight hundred forty nine eight hundred fiftieths
59/3	fifty nine thirds
⅓	one third
1 1/2	one and a half
110/109	one hundred ten one hundred ninths
1265/70	one thousand two hundred sixty five seventieths
8/12	eight twelfths
3/2006	three two thousand sixths
5/31	five thirty firsts
¾	three quarters
96/8	ninety six eighths
3/4	three quarters
2007/8	two thousand seven eighths
2006/7	two thousand six sevenths
12/29	twelve twenty ninths
1/6	one sixth
8½	eight and a half
2½	two and a half
1438/39	one thousand four hundred thirty eight thirty ninths
1/3	one third
1010/10	one thousand ten tenths
8/11	eight elevenths
8/11	eight elevenths
2/3	two thirds
41/1	forty one over one
0/4	zero quarters
6/17	six seventeenths
128/129	one hundred twenty eight one hundred twenty ninths
33/11	thirty three elevenths
12/16	twelve sixteenths
6/24	six twenty fourths
10½	ten and a half
-4/1990	minus four one thousand nine hundred ninetieths
16 1/2	sixteen and a half
1998/991	one thousand nine hundred ninety eight nine hundred ninety firsts
-1/2	minus one half
67/19	sixty seven nineteenths
4/27	four twenty sevenths
10/28	ten twenty eighths
29/100	twenty nine one hundredths
37721/97	thirty seven thousand seven hundred twenty one ninety sevenths
78/100	seventy eight one hundredths
6½	six and a half
7½	seven and a half
24/7	twenty four sevenths
8/30	eight thirtieths
6/26	six twenty sixths
371/24809	three hundred seventy one twenty four thousand eight hundred ninths
1961/69	one thousand nine hundred sixty one sixty ninths
21/2	twenty one halves
2/2011	two two thousand elevenths
12/2011	twelve two thousand elevenths
9/11	nine elevenths
1406/7	one thousand four hundred six sevenths
10/10	ten tenths
-821/851	minus eight hundred twenty one eight hundred fifty firsts
2012/20131	two thousand twelve twenty thousand one hundred thirty firsts
12/8	twelve eighths
1217/18	one thousand two hundred seventeen eighteenths
469/2011	four hundred sixty nine two thousand elevenths
16/32	sixteen thirty seconds
30½	thirty and a half
18/18	eighteen eighteenths
11/10	eleven tenths
½	one half
1/2003	one two thousand third
1826/28	one thousand eight hundred twenty six twenty eighths
1/720	one seven hundred twentieth
13/14	thirteen fourteenths
24/7	twenty four sevenths
1532/3	one thousand five hundred thirty two thirds
1/5	one fifth
33⅓	thirty three and a third
11/730	eleven seven hundred thirtieths
3/11	three elevenths
3/18	three eighteenths
400/1993	four hundred one thousand nine hundred ninety thirds
20/2008	twenty two thousand eighths
1231/32	one thousand two hundred thirty one thirty seconds
1/10	one tenth
12/18	twelve eighteenths
1/3	one third
2/4	two quarters
17/12230	seventeen twelve thousand two hundred thirtieths
7/25	seven twenty fifths
5/3	five thirds
12/5	twelve fifths
2/39	two thirty ninths
8/23	eight twenty thirds
2/280	two two hundred eightieths
9½	nine and a half
38/39	thirty eight thirty ninths
8 3/4	eight and three quarters
5/1	five over one
11/8	eleven eighths
17/14	seventeen fourteenths
22/29	twenty two twenty ninths
141/142	one hundred forty one one hundred forty seconds
19½	nineteen and a half
7½	seven and a half
4/2	four halves
10/11	ten elevenths
2/18	two eighteenths
31999/10	thirty one thousand nine hundred ninety nine tenths
1973/4	one thousand nine hundred seventy three quarters
1898/9	one thousand eight hundred ninety eight ninths
-7/2	minus seven halves
1/2	one half
1/7	one seventh
2/15	two fifteenths
14/32	fourteen thirty seconds
2/8	two eighths
929/930	nine hundred twenty nine nine hundred thirtieths
2/2	two halves
7/10	seven tenths
24/7	twenty four sevenths
14 / 26	fourteen twenty sixths
9/231	nine two hundred thirty firsts
99/4	ninety nine quarters
1/2	one half
1946/47	one thousand nine hundred forty six forty sevenths
1988/89	one thousand nine hundred eighty eight eighty ninths
1/16	one sixteenth
21/9	twenty one ninths
2005/6	two thousand five sixths
1876/77	one thousand eight hundred seventy six seventy sevenths
1963½	one thousand nine hundred sixty three and a half
25/26	twenty five twenty sixths
18/36	eighteen thirty sixths
1/2	one half
355/113	three hundred fifty five one hundred thirteenths
7 1/2	seven and a half
11/4	eleven quarters
11/2015	eleven two thousand fifteenths
8/14	eight fourteenths
895/96	eight hundred ninety five ninety sixths
624/634	six hundred twenty four six hundred thirty fourths
6/315	six three hundred fifteenths
1836/37	one thousand eight hundred thirty six thirty sevenths
28/29	twenty eight twenty ninths
4/4	four quarters
3/4	three quarters
91973/4	ninety one thousand nine hundred seventy three quarters
18¾	eighteen and three quarters
12/8	twelve eighths
4/4	four quarters
9/21	nine twenty firsts
11/11	eleven elevenths
17/11	seventeen elevenths
½	one half
-707/13	minus seven hundred seven thirteenths
966/7	nine hundred sixty six sevenths
2008/2994	two thousand eight two thousand nine hundred ninety fourths
3/15	three fifteenths
88/100	eighty eight one hundredths
1/1000	one one thousandth
6/10	six tenths
173/174	one hundred seventy three one hundred seventy fourths
1½	one and a half
59/100	fifty nine one hundredths
2/3	two thirds
3/2011	three two thousand elevenths
1370/80	one thousand three hundred seventy eightieths
13/14	thirteen fourteenths
7/15	seven fifteenths
7/10	seven tenths
1/4	one quarter
4800/6800	four thousand eight hundred six thousand eight hundredths
10/100	ten one hundredths
33/98	thirty three ninety eighths
1½	one and a half
13/ 11	thirteen elevenths
5/2002	five two thousand seconds
1 1/2	one and a half
2/20	two twentieths
437/438	four hundred thirty seven four hundred thirty eighths
15/16	fifteen sixteenths
50/500	fifty five hundredths
4/6	four sixths
3/2010	three two thousand tenths
52/1	fifty two over one
24/7	twenty four sevenths
20/20	twenty twentieths
8086/8088	eight thousand eighty six eight thousand eighty eighths
1629/30	one thousand six hundred twenty nine thirtieths
1997/19998	one thousand nine hundred ninety seven nineteen thousand nine hundred ninety eighths
4/21	four twenty firsts
1/6	one sixth
357/44	three hundred fifty seven forty fourths
10/14	ten fourteenths
3½	three and a half
1⅛	one and an eighth
6/10	six tenths
11/812	eleven eight hundred twelfths
309/308	three hundred nine three hundred eighths
24/7	twenty four sevenths
10/2007	ten two thousand sevenths
61/38	sixty one thirty eighths
1/155	one one hundred fifty fifth
½	one half
11½	eleven and a half
14½	fourteen and a half
14/6483	fourteen six thousand four hundred eighty thirds
24/7	twenty four sevenths
1/33	one thirty third
2/33	two thirty thirds
2/3	two thirds
-1/2	minus one half
1649/50	one thousand six hundred forty nine fiftieths
245/40	two hundred forty five fortieths
6/8	six eighths
2/3	two thirds
1/2	one half
1/2	one half
501/2733	five hundred one two thousand seven hundred thirty thirds
4/4	four quarters
3/4	three quarters
20/20	twenty twentieths
10/40	ten fortieths
25/29	twenty five twenty ninths
20/24	twenty twenty fourths
1896/7	one thousand eight hundred ninety six sevenths
149/1	one hundred forty nine over one
733/2	seven hundred thirty three halves
102/17	one hundred two seventeenths
2/12	two twelfths
23½	twenty three and a half
45/1	forty five over one
1/5	one fifth
59/3	fifty nine thirds
50/50	fifty fiftieths
4/10	four tenths
1 1/2	one and a half
566/221	five hundred sixty six two hundred twenty firsts
23/24	twenty three twenty fourths
100/200	one hundred two hundredths
1849/50	one thousand eight hundred forty nine fiftieths
1851/2	one thousand eight hundred fifty one halves
1/4	one quarter
995/2010	nine hundred ninety five two thousand tenths
1/2	one half
1/2	one half
3/4	three quarters
2/48	two forty eighths
174/176	one hundred seventy four one hundred seventy sixths
171/643	one hundred seventy one six hundred forty thirds
171/4717	one hundred seventy one four thousand seven hundred seventeenths
33/3	thirty three thirds
5/10	five tenths
6¾	six and three quarters
5 ½	five and a half
1951/2	one thousand nine hundred fifty one halves
2/3	two thirds
3/5	three fifths
5/5	five fifths
½	one half
3/6	three sixths
3/6	three sixths
-5/2007	minus five two thousand sevenths
4/20	four twentieths
1/2	one half
1/2	one half
77/100	seventy seven one hundredths
210/211	two hundred ten two hundred elevenths
1/4	one quarter
7/7	seven sevenths
5/10	five tenths
1 1/2	one and a half
18/36	eighteen thirty sixths
12/200987517	twelve two hundred million nine hundred eighty seven thousand five hundred seventeenths
4½	four and a half
1/10	one tenth
½	one half
12/13	twelve thirteenths
3/5	three fifths
7/28	seven twenty eighths
90/91	ninety ninety firsts
1/5	one fifth
9/1982	nine one thousand nine hundred eighty seconds
2/3	two thirds
1/5	one fifth
-849/90989	minus eight hundred forty nine ninety thousand nine hundred eighty ninths
22¼	twenty two and a quarter
9/11	nine elevenths
20/20	twenty twentieths
2/34	two thirty fourths
7/93	seven ninety thirds
43/12	forty three twelfths
7/7	seven sevenths
50/100	fifty one hundredths
7/30	seven thirtieths
65/288	sixty five two hundred eighty eighths
9/11	nine elevenths
5714/5721	five thousand seven hundred fourteen five thousand seven hundred twenty firsts
5750/5751	five thousand seven hundred fifty five thousand seven hundred fifty firsts
5752/5789	five thousand seven hundred fifty two five thousand seven hundred eighty ninths
1/2	one half
5/4	five quarters
85/87	eighty five eighty sevenths
2/4	two quarters
10/22	ten twenty seconds
7/30	seven thirtieths
8/26	eight twenty sixths
-414/95	minus four hundred fourteen ninety fifths
53/2009	fifty three two thousand ninths
243/2014	two hundred forty three two thousand fourteenths
973/974	nine hundred seventy three nine hundred seventy fourths
16/2	sixteen halves
1/10	one tenth
1477/8	one thousand four hundred seventy seven eighths
133/1	one hundred thirty three over one
5/360	five three hundred sixtieths
8/24	eight twenty fourths
8/24	eight twenty fourths
-34/52	minus thirty four fifty seconds
57/58	fifty seven fifty eighths
1/48	one forty eighth
9/11	nine elevenths
11/24	eleven twenty fourths
8/10	eight tenths
50/50	fifty fiftieths
1/2	one half
11/12	eleven twelfths
1/2	one half
1/2	one half
10/16	ten sixteenths
18/17	eighteen seventeenths
1/3	one third
24/7	twenty four sevenths
1926/7	one thousand nine hundred twenty six sevenths
9/11	nine elevenths
16/9	sixteen ninths
7/11	seven elevenths
1/2	one half
30/100	thirty one hundredths
4/19	four nineteenths
4/7	four sevenths
2004/5	two thousand four fifths
6/16	six sixteenths
15/33	fifteen thirty thirds
1002/14356007	one thousand two fourteen million three hundred fifty six thousand sevenths
-1/2	minus one half
18/1	eighteen over one
142/1990	one hundred forty two one thousand nine hundred ninetieths
56/2014	fifty six two thousand fourteenths
84/2007	eighty four two thousand sevenths
28/5	twenty eight fifths
116/2003	one hundred sixteen two thousand thirds
1 1/3	one and a third
1/144	one one hundred forty fourth
2/2	two halves
-1/2	minus one half
21 1/2	twenty one and a half
11/6	eleven sixths
1880/81	one thousand eight hundred eighty eighty firsts
1½	one and a half
51/100	fifty one one hundredths
850/900	eight hundred fifty nine hundredths
10/22	ten twenty seconds
11½	eleven and a half
4/4	four quarters
10/19	ten nineteenths
1834/35	one thousand eight hundred thirty four thirty fifths
⅔	two thirds
84/2	eighty four halves
59/100	fifty nine one hundredths
16 / 2002	sixteen two thousand seconds
2/3	two thirds
75/12	seventy five twelfths
1782/83	one thousand seven hundred eighty two eighty thirds
1787/88	one thousand seven hundred eighty seven eighty eighths
310/309	three hundred ten three hundred ninths
520/74	five hundred twenty seventy fourths
405/52	four hundred five fifty seconds
9/11	nine elevenths
2/7	two sevenths
4½	four and a half
17/35	seventeen thirty fifths
4/20	four twentieths
9/10	nine tenths
1/2	one half
16/17	sixteen seventeenths
9/11	nine elevenths
360/91	three hundred sixty ninety firsts
3/19	three nineteenths
15/16	fifteen sixteenths
7/26	seven twenty sixths
½	one half
6⅓	six and a third
1 1/2	one and a half
15/3	fifteen thirds
11/29	eleven twenty ninths
1163/70	one thousand one hundred sixty three seventieths
1182/87	one thousand one hundred eighty two eighty sevenths
6/19	six nineteenths
7/20	seven twentieths
7/15	seven fifteenths
9/4	nine quarters
1662/3	one thousand six hundred sixty two thirds
4/4	four quarters
3/4	three quarters
3/4	three quarters
71/354	seventy one three hundred fifty fourths
2½	two and a half
16 1/2	sixteen and a half
83/84	eighty three eighty fourths
6/10	six tenths
4¼	four and a quarter
4/3	four thirds
2006/42	two thousand six forty seconds
5/10	five tenths
259/2014	two hundred fifty nine two thousand fourteenths
20/20	twenty twentieths
9/10	nine tenths
9/27	nine twenty sevenths
3/8	three eighths
2/4	two quarters
5/20142015	five twenty million one hundred forty two thousand fifteenths
3½	three and a half
6/1940	six one thousand nine hundred fortieths
31/2010	thirty one two thousand tenths
385/386	three hundred eighty five three hundred eighty sixths
678/781	six hundred seventy eight seven hundred eighty firsts
50/1	fifty over one
20/1	twenty over one
50/50	fifty fiftieths
20/20	twenty twentieths
4/5	four fifths
9/12	nine twelfths
30/1	thirty over one
2/8	two eighths
1/50	one fiftieth
11/18	eleven eighteenths
6/11	six elevenths
8 1/2	eight and a half
5/95	five ninety fifths
3/4	three quarters
4/1	four over one
9/2	nine halves
7/1	seven over one
1/11	one eleventh
20/20	twenty twentieths
2/9	two ninths
1988/90	one thousand nine hundred eighty eight ninetieths
66/100	sixty six one hundredths
1995/6	one thousand nine hundred ninety five sixths
1/16	one sixteenth
15/16	fifteen sixteenths
44/1864	forty four one thousand eight hundred sixty fourths
2½	two and a half
8/5	eight fifths
1/11	one eleventh
4/95	four ninety fifths
4¾	four and three quarters
397/7	three hundred ninety seven sevenths
74/8	seventy four eighths
-1933/36	minus one thousand nine hundred thirty three thirty sixths
5/17	five seventeenths
12/70	twelve seventieths
3/21	three twenty firsts
4½	four and a half
11/39	eleven thirty ninths
6/8	six eighths
3/27	three twenty sevenths
1/3	one third
9/2	nine halves
332/1	three hundred thirty two over one
-717/714	minus seven hundred seventeen seven hundred fourteenths
78/79	seventy eight seventy ninths
9/11	nine elevenths
9/41	nine forty firsts
99/116	ninety nine one hundred sixteenths
11/22	eleven twenty seconds
1610/11	one thousand six hundred ten elevenths
12/3	twelve thirds
5434/1906	five thousand four hundred thirty four one thousand nine hundred sixths
9/4	nine quarters
6/4	six quarters
44/1989	forty four one thousand nine hundred eighty ninths
2005/6	two thousand five sixths
2007/8	two thousand seven eighths
2008/9	two thousand eight ninths
20132013/14	twenty million one hundred thirty two thousand thirteen fourteenths
10/30	ten thirtieths
0/100	zero one hundredths
0/400	zero four hundredths
1641/42	one thousand six hundred forty one forty seconds
24/4	twenty four quarters
25/10	twenty five tenths
185/60	one hundred eighty five sixtieths
4/99	four ninety ninths
24/7	twenty four sevenths
1½	one and a half
64⅔	sixty four and two thirds
63⅓	sixty three and a third
3/117	three one hundred seventeenths
12 / 1999	twelve one thousand nine hundred ninety ninths
7/2	seven halves
3/2	three halves
30/1948	thirty one thousand nine hundred forty eighths
3/4	three quarters
274/7	two hundred seventy four sevenths
12/98	twelve ninety eighths
37/38	thirty seven thirty eighths
2/4	two quarters
2008/145	two thousand eight one hundred forty fifths
2/3	two thirds
8/1	eight over one
24/31	twenty four thirty firsts
81/1	eighty one over one
5/6	five sixths
1992/3	one thousand nine hundred ninety two thirds
3/23	three twenty thirds
9/10	nine tenths
18 / 1996	eighteen one thousand nine hundred ninety sixths
¾	three quarters
6642/2011	six thousand six hundred forty two two thousand elevenths
57/1	fifty seven over one
31/2014	thirty one two thousand fourteenths
73/1969	seventy three one thousand nine hundred sixty ninths
1½	one and a half
2½	two and a half
20/80	twenty eightieths
82/501	eighty two five hundred firsts
9/22	nine twenty seconds
30/16	thirty sixteenths
2003/30	two thousand three thirtieths
16/30	sixteen thirtieths
5/2	five halves
6/10	six tenths
795/1393	seven hundred ninety five one thousand three hundred ninety thirds
13/137	thirteen one hundred thirty sevenths
9/23	nine twenty thirds
32/2	thirty two halves
7/19	seven nineteenths
8/26	eight twenty sixths
8/10	eight tenths
23¾	twenty three and three quarters
201/620	two hundred one six hundred twentieths
3/8	three eighths
4/6	four sixths
7/6	seven sixths
